site_id,sample_id,site_code,day,month,year,date,latitude,longitude,waterbody_name,waterbody_type,state,EQR,EQC
LTL365,LTL365_4.5.2022,LTL365_2022,4,5,2022,4/5/2022,54.7904249,25.08530498,,lake,,0.8,High
LTL366,LTL366_22.4.2015,LTL366_2015,22,4,2015,22/4/2015,54.6384921,24.83927707,,lake,,0.62,Good
LTL367,LTL367_15.5.2014,LTL367_2014,15,5,2014,15/5/2014,54.60789451,24.82924833,,lake,,0.75,High
LTL367,LTL367_7.5.2020,LTL367_2020,7,5,2020,7/5/2020,54.60789451,24.82924833,,lake,,0.71,Good
LTL368,LTL368_4.5.2016,LTL368_2016,4,5,2016,4/5/2016,54.63554635,24.77305299,,lake,,0.71,Good
LTL368,LTL368_28.4.2022,LTL368_2022,28,4,2022,28/4/2022,54.63554635,24.77305299,,lake,,0.61,Good
LTL370,LTL370_4.5.2016,LTL370_2016,4,5,2016,4/5/2016,54.65031161,24.75873303,,lake,,0.87,High
LTL370,LTL370_5.5.2022,LTL370_2022,5,5,2022,5/5/2022,54.65031161,24.75873303,,lake,,0.42,Moderate
LTL371,LTL371_23.4.2015,LTL371_2015,23,4,2015,23/4/2015,54.65157554,24.57130281,,lake,,0.51,Good
LTL371,LTL371_11.5.2022,LTL371_2022,11,5,2022,11/5/2022,54.65157554,24.57130281,,lake,,0.45,Moderate
LTL372,LTL372_23.4.2015,LTL372_2015,23,4,2015,23/4/2015,54.62481832,24.65482036,,lake,,0.63,Good
LTL372,LTL372_19.4.2023,LTL372_2023,19,4,2023,19/4/2023,54.62481832,24.65482036,,lake,,0.51,Good
LTL373,LTL373_28.4.2015,LTL373_2015,28,4,2015,28/4/2015,54.50859427,24.67357718,,lake,,0.66,Good
LTL373,LTL373_11.5.2021,LTL373_2021,11,5,2021,11/5/2021,54.50859427,24.67357718,,lake,,0.5,Good
LTL374,LTL374_24.5.2021,LTL374_2021,24,5,2021,24/5/2021,54.46691394,24.39178341,,lake,,0.47,Moderate
LTL375,LTL375_30.5.2016,LTL375_2016,30,5,2016,30/5/2016,54.35008434,24.57083781,,lake,,0.33,Poor
LTL375,LTL375_5.5.2022,LTL375_2022,5,5,2022,5/5/2022,54.35008434,24.57083781,,lake,,0.46,Moderate
LTL376,LTL376_27.5.2015,LTL376_2015,27,5,2015,27/5/2015,54.33593178,24.31929074,,lake,,0.57,Good
LTL376,LTL376_19.5.2021,LTL376_2021,19,5,2021,19/5/2021,54.33593178,24.31929074,,lake,,0.74,High
LTL377,LTL377_31.5.2013,LTL377_2013,31,5,2013,31/5/2013,54.2497297,24.5088409,,lake,,0.6463,Good
LTL377,LTL377_20.5.2019,LTL377_2019,20,5,2019,20/5/2019,54.2497297,24.5088409,,lake,,0.58,Good
LTL378,LTL378_22.5.2013,LTL378_2013,22,5,2013,22/5/2013,54.29534921,24.19864151,,lake,,0.632,Good
LTL378,LTL378_21.5.2018,LTL378_2018,21,5,2018,21/5/2018,54.29534921,24.19864151,,lake,,0.74,High
LTL379,LTL379_11.5.2015,LTL379_2015,11,5,2015,11/5/2015,54.28748027,24.11205636,,lake,,0.55,Good
LTL379,LTL379_25.5.2021,LTL379_2021,25,5,2021,25/5/2021,54.28748027,24.11205636,,lake,,0.57,Good
LTL380,LTL380_15.5.2014,LTL380_2014,15,5,2014,15/5/2014,54.56501227,25.05719209,,lake,,0.69,Good
LTL380,LTL380_9.5.2018,LTL380_2018,9,5,2018,9/5/2018,54.56501227,25.05719209,,lake,,0.85,High
LTL381,LTL381_8.5.2014,LTL381_2014,8,5,2014,8/5/2014,55.07964253,26.04247096,,lake,,0.78,High
