site_id,sample_id,site_code,day,month,year,date,latitude,longitude,waterbody_name,waterbody_type,state,EQR,EQC,river_type,dipt_rich,dipt_fam_rich,dipt_abund,vec_fam_rich,vec_abund,Agricultural.areas_100m,Artificial.surfaces_100m,Forest.and.semi.natural.areas_100m,Water.bodies_100m,Wetlands_100m,Agricultural.areas_200m,Artificial.surfaces_200m,Forest.and.semi.natural.areas_200m,Water.bodies_200m,Wetlands_200m,Agricultural.areas_300m,Artificial.surfaces_300m,Forest.and.semi.natural.areas_300m,Water.bodies_300m,Wetlands_300m,ppt,q,tmax,tmin,ws
LTR1019,LTR1019_1.10.2019,LTR1019_2019,1,10,2019,1/10/2019,55.93959493,24.5620452,Lielupe,river,HM,0.56,Good,1,1,1,32,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,45.86666667,8.083333333,12.23333333,4.566666667,2.85
LTR1019,LTR1019_3.10.2022,LTR1019_2022,3,10,2022,3/10/2022,55.93959493,24.5620452,Lielupe,river,HM,0.54,Good,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,56.99166667,13.54166667,11.6,3.733333333,3.141666667
LTR1021,LTR1021_9.10.2012,LTR1021_2012,9,10,2012,9/10/2012,55.63720277,24.47654378,Nemunas,river,HM,,,1,1,1,34,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,50.625,9.091666667,11.045,3.338333333,3.336666667
LTR1021,LTR1021_4.10.2016,LTR1021_2016,4,10,2016,4/10/2016,55.63720277,24.47654378,Nemunas,river,HM,0.42,Moderate,1,2,2,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,51.125,10.1,11.94916667,4.258333333,3.006666667
LTR1021,LTR1021_26.9.2019,LTR1021_2019,26,9,2019,26/9/2019,55.63720277,24.47654378,Nemunas,river,HM,0.55,Good,1,1,1,43,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,42.44166667,7.25,12.54166667,4.683333333,3.008333333
LTR1021,LTR1021_20.9.2022,LTR1021_2022,20,9,2022,20/9/2022,55.63720277,24.47654378,Nemunas,river,HM,0.5,Moderate,1,2,2,5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,59.025,14,11.64166667,3.733333333,3.325
LTR1023,LTR1023_4.10.2010,LTR1023_2010,4,10,2010,4/10/2010,56.03310465,25.43850925,Lielupe,river,N,,,1,3,3,9,0,0,0.75,0,0.25,0,0,0.714285714,0,0.285714286,0,0,0.678571429,0,0.321428571,0,0,70.73333333,21.03333333,10.11,2.551666667,2.9125
LTR1023,LTR1023_7.10.2013,LTR1023_2013,7,10,2013,7/10/2013,56.03310465,25.43850925,Lielupe,river,N,0.7143,Good,1,2,2,50,0,0,0.75,0,0.25,0,0,0.714285714,0,0.285714286,0,0,0.678571429,0,0.321428571,0,0,60.54166667,18.79166667,10.40416667,2.526666667,2.8175
LTR1023,LTR1023_27.9.2016,LTR1023_2016,27,9,2016,27/9/2016,56.03310465,25.43850925,Lielupe,river,HM,0.68,Good,1,3,3,5,1,2,0.75,0,0.25,0,0,0.714285714,0,0.285714286,0,0,0.678571429,0,0.321428571,0,0,57.40833333,13.41666667,11.68416667,4.058333333,2.906666667
LTR1023,LTR1023_25.9.2019,LTR1023_2019,25,9,2019,25/9/2019,56.03310465,25.43850925,Lielupe,river,HM,0.75,High,1,6,4,1461,2,105,0.75,0,0.25,0,0,0.714285714,0,0.285714286,0,0,0.678571429,0,0.321428571,0,0,48.03333333,9.441666667,12.20833333,4.358333333,2.841666667
LTR1023,LTR1023_4.10.2022,LTR1023_2022,4,10,2022,4/10/2022,56.03310465,25.43850925,Lielupe,river,HM,0.63,Good,1,2,2,43,0,0,0.75,0,0.25,0,0,0.714285714,0,0.285714286,0,0,0.678571429,0,0.321428571,0,0,55.19166667,18.35,11.34166667,3.383333333,3.141666667
LTR1027,LTR1027_11.10.2017,LTR1027_2017,11,10,2017,11/10/2017,56.03761878,25.61537655,Lielupe,river,N,0.56,Moderate,1,3,3,5,2,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,67.69166667,18.7,10.13333333,3.041666667,3.108333333
LTR1027,LTR1027_4.10.2022,LTR1027_2022,4,10,2022,4/10/2022,56.03761878,25.61537655,Lielupe,river,N,0.48,Moderate,1,2,1,9,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,55.79166667,18.45833333,11.25833333,3.3,3.133333333
LTR1032,LTR1032_8.10.2012,LTR1032_2012,8,10,2012,8/10/2012,55.81068041,25.07461812,Lielupe,river,N,,,1,3,2,42,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,52.73333333,9.825,10.91083333,3.108333333,3.2775
LTR1032,LTR1032_6.10.2015,LTR1032_2015,6,10,2015,6/10/2015,55.81068041,25.07461812,Lielupe,river,N,0.74,Good,1,5,5,20,1,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,43.46666667,9.191666667,11.74333333,3.655,3.120833333
LTR1037,LTR1037_4.10.2018,LTR1037_2018,4,10,2018,4/10/2018,55.5299,24.281,Nemunas,river,HM,0.44,Moderate,1,3,3,27,0,0,1,0,0,0,0,0.833333333,0,0.166666667,0,0,0.785714286,0,0.214285714,0,0,49.58333333,16.43333333,12.25833333,4.508333333,3.2525
LTR1037,LTR1037_29.9.2021,LTR1037_2021,29,9,2021,29/9/2021,55.5299,24.281,Nemunas,river,HM,0.46,Moderate,1,2,1,19,0,0,1,0,0,0,0,0.833333333,0,0.166666667,0,0,0.785714286,0,0.214285714,0,0,54.075,8.616666667,12.09166667,4.258333333,3.258333333
LTR1038,LTR1038_30.9.2015,LTR1038_2015,30,9,2015,30/9/2015,55.46640083,24.14780428,Nemunas,river,HM,0.76,High,1,3,2,3,0,0,1,0,0,0,0,0.769230769,0.230769231,0,0,0,0.703703704,0.296296296,0,0,0,37.84166667,7.408333333,12.0975,4.074166667,3.1825
LTR1043,LTR1043_30.9.2010,LTR1043_2010,30,9,2010,30/9/2010,56.08240854,24.64071218,Lielupe,river,HM,,,1,1,1,1,0,0,1,0,0,0,0,0.846153846,0.153846154,0,0,0,0.714285714,0.285714286,0,0,0,65.25833333,16.29166667,10.50666667,2.936666667,2.848333333
LTR1043,LTR1043_26.9.2013,LTR1043_2013,26,9,2013,26/9/2013,56.08240854,24.64071218,Lielupe,river,HM,0.4286,Moderate,1,1,1,12,0,0,1,0,0,0,0,0.846153846,0.153846154,0,0,0,0.714285714,0.285714286,0,0,0,53.86666667,16.38333333,10.6825,2.8525,2.824166667
LTR1043,LTR1043_1.10.2015,LTR1043_2015,1,10,2015,1/10/2015,56.08240854,24.64071218,Lielupe,river,HM,0.5,Good,1,1,1,1,1,1,1,0,0,0,0,0.846153846,0.153846154,0,0,0,0.714285714,0.285714286,0,0,0,43.08333333,9.716666667,11.765,3.9275,3.038333333
LTR1043,LTR1043_3.10.2019,LTR1043_2019,3,10,2019,3/10/2019,56.08240854,24.64071218,Lielupe,river,HM,0.51,Good,1,1,1,16,0,0,1,0,0,0,0,0.846153846,0.153846154,0,0,0,0.714285714,0.285714286,0,0,0,47.125,9.175,12.1,4.475,2.816666667
LTR1043,LTR1043_3.10.2022,LTR1043_2022,3,10,2022,3/10/2022,56.08240854,24.64071218,Lielupe,river,HM,0.44,Moderate,1,2,1,12,0,0,1,0,0,0,0,0.846153846,0.153846154,0,0,0,0.714285714,0.285714286,0,0,0,56.21666667,13.86666667,11.525,3.65,3.108333333
LTR1044,LTR1044_3.10.2012,LTR1044_2012,3,10,2012,3/10/2012,55.98725264,24.75072286,Lielupe,river,HM,,,1,4,4,56,2,2,0,1,0,0,0,0.272727273,0.727272727,0,0,0,0.333333333,0.666666667,0,0,0,51.90833333,9.258333333,11.01166667,3.26,3.228333333
LTR1044,LTR1044_28.9.2016,LTR1044_2016,28,9,2016,28/9/2016,55.98725264,24.75072286,Lielupe,river,HM,0.58,Good,1,3,3,32,1,1,0,1,0,0,0,0.272727273,0.727272727,0,0,0,0.333333333,0.666666667,0,0,0,55.2,11.00833333,11.8475,4.205833333,2.924166667
LTR1044,LTR1044_2.10.2019,LTR1044_2019,2,10,2019,2/10/2019,55.98725264,24.75072286,Lielupe,river,HM,0.58,Good,1,2,2,43,0,0,0,1,0,0,0,0.272727273,0.727272727,0,0,0,0.37037037,0.62962963,0,0,0,46.99166667,8.791666667,12.125,4.383333333,2.858333333
LTR1044,LTR1044_6.10.2022,LTR1044_2022,6,10,2022,6/10/2022,55.98725264,24.75072286,Lielupe,river,HM,0.47,Moderate,1,2,2,7,0,0,0,1,0,0,0,0.272727273,0.727272727,0,0,0,0.37037037,0.62962963,0,0,0,55.96666667,14.39166667,11.5,3.541666667,3.166666667
LTR1049,LTR1049_8.10.2012,LTR1049_2012,8,10,2012,8/10/2012,55.9857,25.0871,Lielupe,river,HM,,,1,1,1,39,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,52.725,9.7,10.9425,3.1375,3.229166667
LTR1049,LTR1049_6.10.2015,LTR1049_2015,6,10,2015,6/10/2015,55.9857,25.0871,Lielupe,river,HM,0.66,Good,1,2,2,20,1,18,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,44.125,9.858333333,11.73583333,3.705,3.0675
LTR1049,LTR1049_3.10.2018,LTR1049_2018,3,10,2018,3/10/2018,55.9857,25.0871,Lielupe,river,HM,0.69,Good,1,3,3,64,1,22,1,0,0,0,0,1,0,0,0,0,0.964285714,0.035714286,0,0,0,52.325,19.35,11.89166667,4.025,3.135
LTR1049,LTR1049_7.10.2021,LTR1049_2021,7,10,2021,7/10/2021,55.9857,25.0871,Lielupe,river,HM,0.57,Good,1,2,2,13,1,9,1,0,0,0,0,1,0,0,0,0,0.964285714,0.035714286,0,0,0,58.425,7.691666667,11.6,3.633333333,3.2
LTR105,LTR105_27.9.2010,LTR105_2010,27,9,2010,27/9/2010,55.2845,26.7849,Dauguva,river,N,,,2,2,2,57,1,33,1,0,0,0,0,0.846153846,0,0,0.153846154,0,0.733333333,0,0,0.266666667,0,74.04166667,26.61666667,9.993333333,2.588333333,2.774166667
LTR105,LTR105_27.9.2011,LTR105_2011,27,9,2011,27/9/2011,55.2845,26.7849,Dauguva,river,N,,,2,3,3,17,2,3,1,0,0,0,0,0.846153846,0,0,0.153846154,0,0.733333333,0,0,0.266666667,0,55.61666667,18.08333333,9.724166667,1.8525,2.939166667
LTR105,LTR105_26.9.2012,LTR105_2012,26,9,2012,26/9/2012,55.2845,26.7849,Dauguva,river,N,,,2,3,3,19,1,1,1,0,0,0,0,0.846153846,0,0,0.153846154,0,0.733333333,0,0,0.266666667,0,54.14166667,11.88333333,10.23666667,2.803333333,3.004166667
LTR105,LTR105_16.9.2013,LTR105_2013,16,9,2013,16/9/2013,55.2845,26.7849,Dauguva,river,N,0.4286,Poor,2,4,4,178,0,0,1,0,0,0,0,0.846153846,0,0,0.153846154,0,0.733333333,0,0,0.266666667,0,59.85833333,20.45833333,9.894166667,2.423333333,2.78
LTR105,LTR105_23.9.2014,LTR105_2014,23,9,2014,23/9/2014,55.2845,26.7849,Dauguva,river,N,0.68,Good,2,1,1,18,0,0,1,0,0,0,0,0.846153846,0,0,0.153846154,0,0.733333333,0,0,0.266666667,0,59.71666667,11.85833333,11.215,3.88,2.905
LTR105,LTR105_21.9.2015,LTR105_2015,21,9,2015,21/9/2015,55.2845,26.7849,Dauguva,river,N,0.7,Good,2,2,2,26,0,0,1,0,0,0,0,0.846153846,0,0,0.153846154,0,0.733333333,0,0,0.266666667,0,41.4,9.8,11.16833333,3.1325,2.7825
LTR105,LTR105_25.10.2017,LTR105_2017,25,10,2017,25/10/2017,55.2845,26.7849,Dauguva,river,N,0.59,Moderate,2,4,2,140,1,133,1,0,0,0,0,0.846153846,0,0,0.153846154,0,0.733333333,0,0,0.266666667,0,69.9,23.425,9.666666667,2.666666667,2.979166667
LTR105,LTR105_22.9.2020,LTR105_2020,22,9,2020,22/9/2020,55.2845,26.7849,Dauguva,river,N,0.58,Moderate,2,2,2,37,1,15,1,0,0,0,0,0.846153846,0,0,0.153846154,0,0.7,0,0,0.3,0,52.66666667,7.95,12.225,4.5,3.25
LTR1054,LTR1054_28.9.2012,LTR1054_2012,28,9,2012,28/9/2012,54.50745363,23.11313414,Nemunas,river,N,,,1,2,2,134,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,49.84166667,9.408333333,11.4,3.65,3.485833333
LTR1054,LTR1054_4.10.2016,LTR1054_2016,4,10,2016,4/10/2016,54.50745363,23.11313414,Nemunas,river,HM,0.66,Good,1,2,1,47,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,55.175,12.75833333,12.36833333,4.588333333,3.211666667
LTR1054,LTR1054_7.10.2019,LTR1054_2019,7,10,2019,7/10/2019,54.50745363,23.11313414,Nemunas,river,HM,0.71,High,1,6,6,157,1,30,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,41.31666667,7.1,12.75,4.9,3.275
LTR1054,LTR1054_6.10.2022,LTR1054_2022,6,10,2022,6/10/2022,54.50745363,23.11313414,Nemunas,river,HM,0.51,Moderate,1,5,3,65,1,13,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,54.00833333,10.18333333,11.85833333,4.033333333,3.466666667
LTR106,LTR106_25.9.2012,LTR106_2012,25,9,2012,25/9/2012,55.7421,26.299,Dauguva,river,N,,,3,1,1,1,0,0,0.666666667,0,0.333333333,0,0,0.615384615,0,0.384615385,0,0,0.517241379,0,0.275862069,0.206896552,0,53.48333333,10.71666667,10.3225,2.770833333,3.131666667
LTR106,LTR106_21.9.2016,LTR106_2016,21,9,2016,21/9/2016,55.7421,26.299,Dauguva,river,N,0.64,Good,3,3,3,451,1,246,0.666666667,0,0.333333333,0,0,0.615384615,0,0.384615385,0,0,0.517241379,0,0.275862069,0.206896552,0,58.18333333,13.95,11.25666667,3.758333333,2.8925
LTR106,LTR106_19.9.2019,LTR106_2019,19,9,2019,19/9/2019,55.7421,26.299,Dauguva,river,N,0.7,Good,3,2,2,56,1,29,0.666666667,0,0.333333333,0,0,0.615384615,0,0.384615385,0,0,0.482758621,0,0.310344828,0.206896552,0,45.88333333,8.125,11.8,4.008333333,2.775
LTR106,LTR106_28.9.2023,LTR106_2023,28,9,2023,28/9/2023,55.7421,26.299,Dauguva,river,N,,,3,11,7,38,1,8,0.666666667,0,0.333333333,0,0,0.615384615,0,0.384615385,0,0,0.482758621,0,0.310344828,0.206896552,0,47.8,1.575,6.95,1.075,2.85
LTR1063,LTR1063_2.10.2017,LTR1063_2017,2,10,2017,2/10/2017,54.8796,22.9934,Nemunas,river,N,0.36,Poor,1,2,1,370,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,62.775,18.13333333,10.825,3.791666667,3.435
LTR1063,LTR1063_7.10.2021,LTR1063_2021,7,10,2021,7/10/2021,54.8796,22.9934,Nemunas,river,N,0.35,Poor,1,2,2,323,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,57.86666667,7.541666667,11.79166667,4.05,3.358333333
LTR1070,LTR1070_16.9.2010,LTR1070_2010,16,9,2010,16/9/2010,54.51384723,22.96784305,Nemunas,river,N,,,1,1,1,14,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,63.3,13.99166667,10.9525,3.509166667,3.2075
LTR1070,LTR1070_11.10.2013,LTR1070_2013,11,10,2013,11/10/2013,54.51384723,22.96784305,Nemunas,river,N,0.8571,High,1,2,2,14,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,58.425,14.41666667,10.78416667,3.335833333,3.18
LTR1070,LTR1070_4.10.2016,LTR1070_2016,4,10,2016,4/10/2016,54.51384723,22.96784305,Nemunas,river,N,0.55,Moderate,1,3,3,87,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,54.88333333,12.48333333,12.43916667,4.674166667,3.193333333
LTR1070,LTR1070_8.10.2019,LTR1070_2019,8,10,2019,8/10/2019,54.51384723,22.96784305,Nemunas,river,N,0.62,Good,1,5,5,142,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,41.275,7.033333333,12.81666667,4.941666667,3.266666667
LTR1070,LTR1070_4.10.2022,LTR1070_2022,4,10,2022,4/10/2022,54.51384723,22.96784305,Nemunas,river,N,0.49,Moderate,1,4,2,36,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,53.56666667,9.925,11.925,4.125,3.45
LTR1072,LTR1072_26.9.2012,LTR1072_2012,26,9,2012,26/9/2012,54.6354,23.0552,Nemunas,river,N,,,1,1,1,84,0,0,0.5,0.5,0,0,0,0.461538462,0.538461538,0,0,0,0.518518519,0.481481481,0,0,0,50.33333333,9.808333333,11.60166667,3.866666667,3.471666667
LTR1072,LTR1072_4.10.2016,LTR1072_2016,4,10,2016,4/10/2016,54.6354,23.0552,Nemunas,river,HM,0.79,High,1,3,3,23,0,0,0.5,0.5,0,0,0,0.461538462,0.538461538,0,0,0,0.518518519,0.481481481,0,0,0,55.36666667,12.93333333,12.54333333,4.79,3.190833333
LTR1072,LTR1072_7.10.2019,LTR1072_2019,7,10,2019,7/10/2019,54.6354,23.0552,Nemunas,river,HM,0.37,Moderate,1,1,1,26,0,0,0.5,0.5,0,0,0,0.461538462,0.538461538,0,0,0,0.518518519,0.481481481,0,0,0,41.18333333,7.308333333,12.96666667,5.1,3.258333333
LTR1074,LTR1074_24.9.2012,LTR1074_2012,24,9,2012,24/9/2012,54.4742,23.2888,Nemunas,river,N,,,1,4,4,164,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,49.24166667,8.966666667,11.41,3.645,3.480833333
LTR1074,LTR1074_5.10.2016,LTR1074_2016,5,10,2016,5/10/2016,54.4742,23.2888,Nemunas,river,HM,0.46,Moderate,1,2,2,40,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,54.68333333,12.73333333,12.3925,4.575,3.213333333
LTR1076,LTR1076_11.10.2017,LTR1076_2017,11,10,2017,11/10/2017,54.72036769,23.59466014,Nemunas,river,N,0.53,Moderate,1,1,1,18,0,0,0.5,0,0.5,0,0,0.615384615,0,0.384615385,0,0,0.586206897,0,0.413793103,0,0,62.775,17.925,10.70833333,3.566666667,3.44
LTR1076,LTR1076_3.10.2022,LTR1076_2022,3,10,2022,3/10/2022,54.72036769,23.59466014,Nemunas,river,N,0.41,Moderate,1,4,2,24,0,0,1,0,0,0,0,0.846153846,0,0.153846154,0,0,0.793103448,0,0.206896552,0,0,54.45,12.01666667,11.75833333,3.9,3.475
LTR1089,LTR1089_28.10.2013,LTR1089_2013,28,10,2013,28/10/2013,55.5575,23.52,Nemunas,river,N,0.7143,Good,1,1,1,18,0,0,1,0,0,0,0,1,0,0,0,0,0.964285714,0,0.035714286,0,0,58.725,17.99166667,10.21166667,2.69,2.9825
LTR1089,LTR1089_17.10.2018,LTR1089_2018,17,10,2018,17/10/2018,55.5575,23.52,Nemunas,river,HM,0.57,Good,1,1,1,25,0,0,1,0,0,0,0,1,0,0,0,0,0.964285714,0,0.035714286,0,0,52.06666667,20.7,11.71666667,4.15,3.275833333
LTR1092,LTR1092_24.9.2013,LTR1092_2013,24,9,2013,24/9/2013,55.9739,22.5688,Venta,river,N,0.8571,High,1,11,11,34,2,11,0,1,0,0,0,0.25,0.583333333,0.166666667,0,0,0.28125,0.4375,0.28125,0,0,61.46666667,26.18333333,10.05916667,2.781666667,3.220833333
LTR1092,LTR1092_26.9.2019,LTR1092_2019,26,9,2019,26/9/2019,55.9739,22.5688,Venta,river,HM,0.6,Good,1,6,5,500,1,1,0,1,0,0,0,0.25,0.583333333,0.166666667,0,0,0.25,0.46875,0.28125,0,0,49.525,14.55,11.825,4.641666667,3.433333333
LTR1093,LTR1093_30.9.2013,LTR1093_2013,30,9,2013,30/9/2013,56.2889,22.9667,Venta,river,HM,0.7143,High,1,3,3,4,0,0,1,0,0,0,0,1,0,0,0,0,0.965517241,0,0.034482759,0,0,52.66666667,17.63333333,10.355,3.1425,2.838333333
LTR11,LTR11_9.10.2013,LTR11_2013,9,10,2013,9/10/2013,55.0701,22.578,Nemunas,river,HM,0.4286,Moderate,4,3,3,108,0,0,0,0,0,1,0,0.153846154,0.153846154,0,0.692307692,0,0.233333333,0.266666667,0,0.5,0,66.325,21.85833333,10.85416667,3.361666667,3.078333333
LTR11,LTR11_8.10.2014,LTR11_2014,8,10,2014,8/10/2014,55.0701,22.578,Nemunas,river,HM,0.44,Moderate,4,1,1,4,0,0,0,0,0,1,0,0.153846154,0.153846154,0,0.692307692,0,0.233333333,0.266666667,0,0.5,0,53.99166667,16.375,12.53166667,4.921666667,3.295
LTR11,LTR11_7.10.2015,LTR11_2015,7,10,2015,7/10/2015,55.0701,22.578,Nemunas,river,HM,0.4,Moderate,4,2,2,36,0,0,0,0,0,1,0,0.153846154,0.153846154,0,0.692307692,0,0.233333333,0.266666667,0,0.5,0,47.90833333,13.68333333,12.2125,4.410833333,3.339166667
LTR11,LTR11_5.10.2016,LTR11_2016,5,10,2016,5/10/2016,55.0701,22.578,Nemunas,river,HM,0.39,Moderate,4,2,2,84,0,0,0,0,0,1,0,0.153846154,0.153846154,0,0.692307692,0,0.233333333,0.266666667,0,0.5,0,62.33333333,16.65833333,12.37916667,4.79,3.1225
LTR11,LTR11_4.10.2017,LTR11_2017,4,10,2017,4/10/2017,55.0701,22.578,Nemunas,river,HM,0.51,Good,4,3,3,42,0,0,0,0,0,1,0,0.153846154,0.153846154,0,0.692307692,0,0.233333333,0.266666667,0,0.5,0,68.00833333,22.10833333,10.875,3.933333333,3.373333333
LTR11,LTR11_7.10.2020,LTR11_2020,7,10,2020,7/10/2020,55.0701,22.578,Nemunas,river,HM,0.45,Moderate,4,1,1,27,0,0,0,0,0,1,0,0.153846154,0.153846154,0,0.692307692,0,0.233333333,0.233333333,0,0.533333333,0,52.575,5.891666667,13.29166667,5.6,3.625
